reference_number,local_name,common_name,length_mm,weight_g,comments
1,125231_us_ef1,Rainbow Trout,48,1.2,
1,125231_us_ef1,Rainbow Trout,46,1,
1,125231_us_ef1,Rainbow Trout,49,1.4,
1,125231_us_ef1,Rainbow Trout,45,1,
1,125231_us_ef1,Rainbow Trout,47,1.3,
1,125231_us_ef1,Rainbow Trout,44,0.9,
1,125231_us_ef1,Rainbow Trout,47,1,
1,125231_us_ef1,Rainbow Trout,48,1.7,
1,125231_us_ef1,Rainbow Trout,43,1.5,
1,125231_us_ef1,Rainbow Trout,45,0.9,
1,125231_us_ef1,Rainbow Trout,48,1.3,
1,125231_us_ef1,Rainbow Trout,45,1.1,
1,125231_us_ef1,Rainbow Trout,47,1.6,
1,125231_us_ef1,Rainbow Trout,45,0.9,photo MW 12:31:41
2,125231_us_ef2,Rainbow Trout,157,40.7,3DD.003E192BAD
2,125231_us_ef2,Rainbow Trout,51,1.8,
2,125231_us_ef2,Rainbow Trout,46,1.3,
2,125231_us_ef2,Rainbow Trout,48,1.2,
2,125231_us_ef2,Rainbow Trout,43,0.9,
2,125231_us_ef2,Rainbow Trout,40,0.8,
2,125231_us_ef2,Rainbow Trout,42,1.2,
2,125231_us_ef2,Rainbow Trout,47,1.2,
2,125231_us_ef2,Rainbow Trout,43,0.9,
2,125231_us_ef2,Rainbow Trout,42,0.9,
2,125231_us_ef2,Rainbow Trout,45,1.3,
3,125231_us_ef3,Rainbow Trout,52,1.7,
3,125231_us_ef3,Rainbow Trout,46,1.9,
3,125231_us_ef3,Rainbow Trout,47,1.1,
3,125231_us_ef3,Rainbow Trout,47,1.9,
3,125231_us_ef3,Rainbow Trout,47,1.4,
3,125231_us_ef3,Rainbow Trout,53,1.4,
3,125231_us_ef3,Rainbow Trout,44,1.3,
3,125231_us_ef3,Rainbow Trout,46,1.7,photo AI
3,125231_us_ef3,Rainbow Trout,48,1.3,
3,125231_us_ef3,Rainbow Trout,52,1.6,
3,125231_us_ef3,Rainbow Trout,44,1,
3,125231_us_ef3,Rainbow Trout,44,1.2,
3,125231_us_ef3,Rainbow Trout,48,1.3,
3,125231_us_ef3,Rainbow Trout,44,1,
3,125231_us_ef3,Rainbow Trout,47,1.4,
3,125231_us_ef3,Rainbow Trout,46,1.4,
3,125231_us_ef3,Rainbow Trout,45,1.9,
3,125231_us_ef3,Rainbow Trout,53,1.5,
3,125231_us_ef3,Rainbow Trout,50,,
3,125231_us_ef3,Rainbow Trout,45,1.4,
3,125231_us_ef3,Rainbow Trout,52,1.6,
3,125231_us_ef3,Rainbow Trout,46,1.6,
