rowid,reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel,time
1,,,125231_us_ef1,stream,,,,,,2023-08-28,,10,549965.845469777,6065156.417198277,,,12:52:44
2,,,125231_us_ef2,stream,,,,,,2023-08-28,,10,549971.7884104322,6065175.783253396,,,13:09:16
3,,,125231_us_ef3,stream,,,,,,2023-08-28,,10,549971.7603390255,6065196.618701362,,,14:33:39
4,,,125231_ds_ef1 ,stream,,,,,,2023-08-28,,10,549902.6387996736,6065093.672888957,,,15:28:12
5,,,125231_ds_ef2,stream,,,,,,2023-08-28,,10,549917.8839465476,6065095.029181796,,,15:43:40
6,,,125231_ds_ef3,stream,,,,,,2023-08-28,,10,549925.166387596,6065097.004179889,,,16:05:15
7,,,125261_ds_ef1,stream,,,,,,2023-08-29,,10,534619.8752058301,6067690.575888466,,,11:06:32
8,,,125261_ds_ef2,stream,,,,,,2023-08-29,,10,534606.9335343849,6067717.926245416,,,11:28:44
9,,,125261_ds_ef3,stream,,,,,,2023-08-29,,10,534591.4041974383,6067743.452175755,,,12:30:19
10,,,125261_us_ef1,stream,,,,,,2023-08-29,,10,534637.56740137015,6067822.587465425,,,14:39:16
11,,,125261_us_ef2,stream,,,,,,2023-08-29,,10,534633.0725904589,6067839.567905133,,,15:23:07
12,,,125261_us_ef3,stream,,,,,,2023-08-29,,10,534628.472129833,6067852.394359468,,,15:42:29
13,,,2200799_us,stream,,,,,,2023-08-31,,10,499086.47842512716,6094098.509313436,,,13:25:08
14,,,2200799_ds,stream,,,,,,2023-08-31,,10,498976.6942345086,6094004.450053918,,,14:10:28
15,,,3700024_us,stream,,,,,,2023-09-01,,10,510958.94755893585,6072481.377837888,,,09:23:38
16,,,3700024_ds,stream,,,,,,2023-09-01,,10,510791.1557483813,6072377.169550024,,,10:50:07
17,,,3703459_us,stream,,,,,,2023-09-02,,10,513785.72766058677,6067307.712350977,,,09:47:34
18,,,3703459_ds,stream,,,,,,2023-09-02,,10,513634.33865991386,6067242.958296732,,,11:44:02
19,,,2200002_us,stream,,,,,,2023-08-31,,10,498001.2178571432,6093546.127144146,,,13:33:57
20,,,2200002_ds,stream,,,,,,2023-08-31,,10,497761.18102416076,6093678.965777,,,15:05:20
